prompt_fragment_text,prompt_fragment_category
a dog,subjects
a cat,subjects
an old man,subjects
an old woman,subjects
a young woman,subjects
a young man,subjects
a mother and her daughter,subjects
a father and son,subjects
in a coffee shop,locations
in paris,locations
at a football match,locations
sitting in the park,locations
in a deserted train station,locations
walking alone at night,locations
resting their eyes,locations
and it's crowded,endings
but it's raining,endings
and their hat has blown off,endings
and the sun is setting,endings
and the sky looks like it's going to rain,endings
and they see someone they know,endings
a pine tree,locations
a garden in winter,subjects